duplicate_family_id,family_type,family_size,publishers,article_ids,titles,edge_density,flag
dupfam_63dd0bee34bf,SYNDICATED_COPY,2,dantri;vnexpress,3d50a3291203a9b6;901b56cfd51a5f2a,"Tổng Bí thư, Chủ tịch nước lên đường công du Mỹ, Canada || Tổng Bí thư, Chủ tịch nước Tô Lâm lên đường công du Mỹ, Canada",1.0,
dupfam_effca3d27c6d,SYNDICATED_COPY,2,vietnamnet,e46ff5c8086409cd;0feea08b6ada8155,"TPHCM đêm không ngủ, rực sắc đỏ mừng Việt Nam vô địch || Biển người TPHCM &apos;đi bão&apos; xuyên đêm mừng tuyển Việt Nam vô địch",1.0,
