article_id,title,url,canonical_url,publisher_domain,publisher_id,publisher_group_id,source_system,first_seen_at,published_at,timestamp_confidence,language,publisher_country,description,category,vietnam_relevance,duplicate_family_id,branch,collection_mode,raw_payload_ref,source_seen_at,rejection_reason
75e0e2d32f3aca4f,"Ukraine tập kích Moscow lớn chưa từng có, Nga chặn 1.600 UAV giữa kỳ bầu cử",https://dantri.com.vn/the-gioi/ukraine-tap-kich-moscow-lon-chua-tung-co-nga-chan-1600-uav-giua-ky-bau-cu-20260920165612697.htm,https://dantri.com.vn/the-gioi/ukraine-tap-kich-moscow-lon-chua-tung-co-nga-chan-1600-uav-giua-ky-bau-cu-20260920165612697.htm,dantri.com.vn,dantri,,rss,2026-09-20T16:13:59Z,2026-09-20T10:09:50Z,publisher_reported,vi,VN,(Dân trí) - Nga cáo buộc Ukraine tập kích máy bay không người lái quy mô lớn trong thời gian diễn ra bầu cử quốc hội.,,False,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=87592ef46c5b18d42f1439052600363b0605f14c86995a7d25e45f38b9e34803,,
d87bb03aa0428fce,Cháy căn hộ chung cư ở Hà Nội lúc rạng sáng,https://vietnamnet.vn/chay-can-ho-chung-cu-o-ha-noi-luc-rang-sang-2552362.html,https://vietnamnet.vn/chay-can-ho-chung-cu-o-ha-noi-luc-rang-sang-2552362.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-06T00:27:23Z,publisher_reported,vi,VN,"Cơ quan chức năng đang làm rõ nguyên nhân vụ cháy căn hộ chung cư tại tòa HH1, số 90 Nguyễn Tuân (phường Thanh Xuân, Hà Nội) vào rạng sáng 6/9.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=df1ad686d25e386108202ca84a3ffc8b3985d12c46e8d8a7245b03feab0c9e35,,
9e5abe84e4e85dbb,Điều gì xảy ra khi bạn không ăn đủ protein sau tuổi 50?,https://vnexpress.net/dieu-gi-xay-ra-khi-ban-khong-an-du-protein-sau-tuoi-50-5121921.html,https://vnexpress.net/dieu-gi-xay-ra-khi-ban-khong-an-du-protein-sau-tuoi-50-5121921.html,vnexpress.net,vnexpress,,rss,2026-09-20T16:13:59Z,2026-09-20T06:00:00Z,publisher_reported,vi,VN,"Sau tuổi 50, thiếu protein kéo dài có thể làm mất cơ, giảm sức mạnh và khả năng vận động, ảnh hưởng phục hồi.",,False,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=7d2800f812617748c84318380fb1b3a961e175d4fd936a55af1a1e1b7bf02319,,
8b0d843ffc8070cc,"Bến xe buýt tại TPHCM ‘lột xác’, hành khách phấn khởi với loạt tiện ích mới",https://vietnamnet.vn/ben-xe-buyt-tai-tphcm-lot-xac-hanh-khach-phan-khoi-voi-loat-tien-ich-moi-2555908.html,https://vietnamnet.vn/ben-xe-buyt-tai-tphcm-lot-xac-hanh-khach-phan-khoi-voi-loat-tien-ich-moi-2555908.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-16T23:43:00Z,publisher_reported,vi,VN,"Từng xuống cấp, chật hẹp và bất tiện trong việc ra vào, bến xe buýt Quận 8 (Phường Bình Đông, TPHCM) nay đã có diện mạo khang trang hơn sau nhiều tháng cải tạo.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=732ce0e3366cf4285d43e224d70ec064d9e1fb3d8aa11372cbdfd5eef1edb25b,,
72ffe1a558fafa40,Vì sao Arsenal thua thảm Brighton?,https://vnexpress.net/vi-sao-arsenal-thua-tham-brighton-5122477.html,https://vnexpress.net/vi-sao-arsenal-thua-tham-brighton-5122477.html,vnexpress.net,vnexpress,,rss,2026-09-20T16:13:59Z,2026-09-20T06:35:05Z,publisher_reported,vi,VN,"Bị Brighton áp đảo về cường độ, tranh chấp và khả năng gây sức ép, ĐKVĐ Arsenal liên tục mắc lỗi và nhận thất bại 0-3 ở vòng 5 Ngoại hạng Anh.",,False,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=7d09932ef4e605a12b66694618807743f9b6dc97940b82567245ee4e3449ff73,,
61e940624b113b1e,"Ukraine ""không còn sợ"" tên lửa Zircon của Nga?",https://dantri.com.vn/the-gioi/ukraine-khong-con-so-ten-lua-zircon-cua-nga-20260920104533290.htm,https://dantri.com.vn/the-gioi/ukraine-khong-con-so-ten-lua-zircon-cua-nga-20260920104533290.htm,dantri.com.vn,dantri,,rss,2026-09-20T16:13:59Z,2026-09-20T04:53:38Z,publisher_reported,vi,VN,"(Dân trí) - Ukraine bác bỏ tuyên bố ""bất khả chiến bại"" của Nga về tên lửa Zircon, khẳng định đây không phải là tên lửa hành trình siêu vượt âm thực sự và chúng có thể dễ dàng bị đánh chặn.",,False,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=517d0890d8df0945f876d2a4418ec029c67591f0b1dceed81327c2d2a0a14242,,
646b5c428b49fe73,"Thắng đậm U23 Hong Kong, U23 Thái Lan giành vé đi tiếp",https://dantri.com.vn/the-thao/thang-dam-u23-hong-kong-u23-thai-lan-gianh-ve-di-tiep-20260920135017631.htm,https://dantri.com.vn/the-thao/thang-dam-u23-hong-kong-u23-thai-lan-gianh-ve-di-tiep-20260920135017631.htm,dantri.com.vn,dantri,,rss,2026-09-20T16:13:59Z,2026-09-20T08:50:00Z,publisher_reported,vi,VN,"(Dân trí) - U23 Thái Lan đã giành chiến thắng tưng bừng với tỷ số 5-1 trước U23 Hong Kong (Trung Quốc). Với kết quả này, thầy trò HLV Thawatchai đã giành vé đi tiếp.",,False,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=e4f09460dae85cd36345776e0754b31b6ce2a6c0b462c24e07d64cc7f87670c2,,
1f47781db4c24f19,"&apos;Gen Z&apos; Ninh Bình làm trưởng thôn, kể việc làm trưởng ban lễ tang, đọc điếu văn",https://vietnamnet.vn/gen-z-ninh-binh-lam-truong-thon-ke-viec-lam-truong-ban-le-tang-doc-dieu-van-2552448.html,https://vietnamnet.vn/gen-z-ninh-binh-lam-truong-thon-ke-viec-lam-truong-ban-le-tang-doc-dieu-van-2552448.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-08T22:00:00Z,publisher_reported,vi,VN,"Sau khi thực hiện sáp nhập thôn, tổ dân phố, các xã, phường của tỉnh Ninh Bình đã kiện toàn đội ngũ cán bộ cơ sở. Trong số những người được tín nhiệm giao đảm nhiệm vị trí trưởng thôn, tổ trưởng tổ dân phố, có những người tuổi đời còn rất trẻ.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=36e3efa799adf73f56307cb3c334f2fa7dfa2c8c5db4cbc94f566d53a75b1d8d,,
c361de2efa420eb3,TPHCM tìm nhân chứng về nơi chôn cất hơn 100 liệt sĩ Mậu Thân 1968 ở Gò Vấp,https://vietnamnet.vn/tphcm-tim-nhan-chung-ve-noi-chon-cat-hon-100-liet-si-mau-than-1968-o-go-vap-2556641.html,https://vietnamnet.vn/tphcm-tim-nhan-chung-ve-noi-chon-cat-hon-100-liet-si-mau-than-1968-o-go-vap-2556641.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-20T09:10:27Z,publisher_reported,vi,VN,"Bộ Tư lệnh TPHCM đang phối hợp xác minh thông tin phục vụ tìm kiếm, quy tập hài cốt hơn 100 liệt sĩ hy sinh trong Tết Mậu Thân 1968, nghi được chôn tại khu vực nay là Đài tưởng niệm liệt sĩ quận Gò Vấp (cũ).",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=b075ef8714b489b937671d106904a6be06f9c2507a4f0c191197108bd1576081,,
55041f74e9286ffd,Vụ người thân kéo đến bệnh viện: Bắt khẩn cấp bố của cô gái mang thai giả,https://vietnamnet.vn/vu-nguoi-than-keo-den-benh-vien-bat-khan-cap-bo-cua-co-gai-mang-thai-gia-2556490.html,https://vietnamnet.vn/vu-nguoi-than-keo-den-benh-vien-bat-khan-cap-bo-cua-co-gai-mang-thai-gia-2556490.html,vietnamnet.vn,vietnamnet,,rss,2026-09-20T16:13:59Z,2026-09-18T06:12:56Z,publisher_reported,vi,VN,"Liên quan đến vụ việc kéo người thân đến bệnh viện để chất vấn sau khi nghe lời kể của cô gái về việc được chỉ định bỏ thai, Công an tỉnh Phú Thọ đã bắt khẩn cấp bố của cô gái.",,True,,domestic,prospective,data/raw/vietnamese/vietnamese_raw_payloads.jsonl#raw_record_id=b85c6dcf34c2db4dfa365047688d262d599fe0b36b93bcda57654f5735913789,,
